Level,Name,Kiwibank Name,Kiwibank Number,Owner
BA,Reference Data,KB Name,KB number,KB only
BD,Party,Business Partner,,
SD,Party Data Management,Business Partner Management,3.3.1,
SD,Party Profile,Business Partner Profile,3.3.2,
BD,External Agency,,3.1,
SD,Information Provider Administration,,3.1.3,
SD,Syndicate Management,,3.1.8,
SD,Interbank Relationship Management,,3.1.4,
SD,Correspondent Bank Relationship Management,,3.1.2,
SD,Correspondent Bank Data Management,,3.1.9,
SD,Sub Custodian Agreement,(transferring and managing our securities and collateral - Dave McCollough),3.1.7,
SD,Product Service Agency,,3.1.6,
SD,Product Broker Agreement,,3.1.5,
SD,Contractor/ Supplier Agreement,managed on intranet via procurement team,3.1.1,
BD,Market Data,,3.2,
SD,Information Provider Operation,,3.2.5,
SD,Market Information Management,,3.2.9,
SD,Financial Market Analysis,,3.2.3,
SD,Financial Market Research,,3.2.4,
SD,Quantitative Analysis,,3.2.10,
SD,Market Data Dissemination Administration,,3.2.7,
SD,Market Data Dissemination Operations,,3.2.8,
SD,Financial Instrument Reference Data Management,,3.2.2,
SD,Counterparty Administration,Treasury & financial markets),3.2.1,
SD,Reference/Directory Management,(Treasury & financial markets & economics),3.2.11,
SD,Location Data Management,,3.2.6,
BD,Product Management,,3.4,
SD,Product Design,,3.4.3,
SD,Product Combination,,3.4.1,
SD,Product Deployment,,3.4.2,
SD,Product Training,,3.4.6,
SD,Product Quality Assurance,,3.4.5,
SD,Product Pricing Facility,,3.4.4,
BA,Sales & Services,,5,
BD,Channel Specific,,5.1,
SD,Branch Location Management,,5.1.7,
SD,Call Center Management,,5.1.10,
SD,Branch Network Management,,5.1.9,
SD,E-Branch Management ,,5.1.12,
SD,Advanced Voice Services Management,,5.1.1,
SD,ATM Network Management,,5.1.3,
SD,Call Center Operations,,5.1.11,
SD,Branch Location Operations,,5.1.8,
SD,E-Branch Operations,,5.1.13,
SD,Advanced Voice Services Operations,,5.1.2,
SD,ATM Network Operations,,5.1.4,
SD,Branch Currency Management,,5.1.6,
SD,Branch Currency Distribution,,5.1.5,
SD,Product Inventory Item Management,,5.1.15,
SD,Product Inventory Distribution,,5.1.14,
BD,Cross Channel,,5.2,
SD,Party Authentication,,5.2.4,
SD,Transaction Authorisation,,5.2.8,
SD,Servicing Position (to be renamed to Point of Service in later release),collateral and media management,5.2.7,
SD,Servicing Event History,,5.2.6,
SD,Servicing Activity Analysis,,5.2.5,
SD,Contact Routing,,5.2.2,
SD,Contact Dialogue,,5.2.1,
SD,Interactive Help,,5.2.3,
BD,Marketing,,5.4,
SD,Business Development Policies,,5.4.4,
SD,Data Driven Marketing,,5.4.11,KB
SD,Business Development,,5.4.3,
SD,Brand Management,,5.4.2,
SD,Advertising,,5.4.1,
SD,Promotional Events,,5.4.8,
SD,Prospect Campaign Management,,5.4.10,
SD,Prospect Campaign Design,,5.4.9,
SD,Customer Campaign Management,,5.4.6,
SD,Customer Campaign Design,,5.4.5,
SD,Customer Surveys,,5.4.7,
BD,Sales,,5.5,
SD,Prospect Campaign Execution,,5.5.8,
SD,Prospect Management,,5.5.9,
SD,Lead/Opportunity Management,,5.5.4,
SD,Customer Campaign Execution,,5.5.3,
SD,Offer Management,,5.5.5,
SD,Sales Planning,,5.5.10,
SD,Underwriting,,5.5.13,
