Level,Name,Automate User Provisioning,ATM Network Data Connections,PCI,Telco Systems Upgrage,Ultracs Recoverability improvements,Hastings Regional Office,Balance Sheet Modelling,Fees Litigation,FICO Scorecard Development,Property BAU Small projects,Retail Transformation North Shore,Store Network Transition,ATM and Cash Management Phase 2,Automated Customer Comms,Consolidated Enterprise Information Delivery,GMK Default Provider,KBKS to GMKS Transfer,Prepaid platform Replacement Biz case submission,Purchase Connect for Kiosk,Reconciliations Project,Work Requests,YouPost Integration,YouPost Payment Gateway,CoreMod Blueprint,Channel Access Control,EIP Enterprise Integration Programme,FDS Scheduler,InTouch refactoring BSS,PAT Environment,Payments Switch Upgrade,Firewall Hardware Refresh,International Desktop refactoring,Agency Onboarding,Customer Marketing Preferences Flag,Data Driven Sales,Design and Scoping Everyday Banking,Design and Scoping LLC,Design and Scoping Onboarding,Digital First Blueprint,Digital Onboarding Phase 1 biz case,Document Capture Phase 2,Enterprise Content Management ECM,Insurance channel integration,Investment opening,Lending Online,Loan Decisioning Improvements,Loan refixing,Mobile App Native,Payment Reference Details,Precision Based Routing,Simplification Quick Wins,UMCC Delivery,Building and Plant budget IT Ops,Desktop budget IT Ops,HSM Upgrade Ph1,Infrastructure Budget IT Ops,Netscaler upgrade,Server Budget IT Ops,Storage Budget IT Ops,AIRB Programme,Biz Markets Advanced Status BMAS,CCCFA,Credit Card Chip Migration,FATCA,FMC Act
BA,Reference Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BD,Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
SD,Party Data Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
SD,Party Profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
BD,External Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,
SD,Information Provider Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,
SD,Syndicate Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,
SD,Interbank Relationship Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,
SD,Correspondent Bank Relationship Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,
SD,Correspondent Bank Data Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,
