Level 0,Level 1,Level 2,Level 3,Notes
What,Event,Financial,Transaction,
What,Event,Financial,Payment,
What,Event,Non Financial,Various,
What,Correspondence,Communication,Enquiry,
What,Correspondence,Communication,Complaint,
What,Correspondence,Communication,Letter,
What,Correspondence,Campaign,Various,
What,Correspondence,Referral,Various by Product,
What,Risk,Credit Application,Various by Product,
What,Risk,Security,TBC,
What,Risk,Guarantee,Supported,
What,Risk,Guarantee,Unsupported,
What,Risk,Measures,Loss Given Default (LGD),
What,Risk,Measures,Probability of Default (PD),
What,Risk,Measures,Loan to Valuation Ratio (LVR),
What,Risk,Measures,Exposure,
What,Product,Transaction,Now,
What,Product,Transaction,Free Up,
What,Product,Transaction,Front Runner,
What,Product,Transaction,Bill Blaster,
What,Product,Transaction,Business Edge,
What,Product,Transaction,Non Profit Front Runner,
What,Product,Deposit,Fast Forward Saver,
What,Product,Deposit,Online Call,
What,Product,Deposit,Back-up Saver,
What,Product,Deposit,Notice Saver,
What,Product,Deposit,Business Performer,
What,Product,Deposit,Business Online Call,
What,Product,Deposit,Business Notice Saver,
What,Product,Deposit,Non Profit Business Performer,
What,Product,Credit Card,Low Rate MasterCard,
What,Product,Credit Card,MasterCard Gold,
What,Product,Credit Card,MasterCard Zero,
What,Product,Credit Card,AirPoints Low Fee MasterCard,
What,Product,Credit Card,AirPoints Standard MasterCard,
What,Product,Credit Card,AirPoints Platinum MasterCard,
What,Product,Credit Card,Business MasterCard,
What,Product,Secured Lending,TBC,
What,Product,Secured Lending,Business Overdraft,
What,Product,Unsecured Lending,Overdraft,
What,Product,Unsecured Lending,Personal Loan,
What,Product,Unsecured Lending,Car Loan,
What,Product,Insurance,Life,
What,Product,Insurance,Personal Loan,
What,Product,Insurance,Home Loan,
What,Product,Insurance,Credit Card,
What,Product,Insurance,Travel ,
What,Product,Insurance,House,
What,Product,Insurance,Contents,
What,Product,Insurance,Vehicle,
What,Product,Insurance,Business Insurance,
What,Product,Investment,Term Deposit,
What,Product,Investment,Investment Portfolio,
What,Product,Investment,Business Term Deposit,
What,Product,Wholesale,TBC,
How,Service,Internet Banking,,Levels 2 & 3 being determined with stakeholders.
How,Service,Mobile Banking,,Levels 2 & 3 being determined with stakeholders.
How,Service,Debit Card,VISA Debit Card,Levels 2 & 3 being determined with stakeholders.
How,Service,Secure Mail,,Levels 2 & 3 being determined with stakeholders.
How,Service,Credit Card,,Levels 2 & 3 being determined with stakeholders.
How,Service,Call Centre,,Levels 2 & 3 being determined with stakeholders.
How,Service,Sweep,,Levels 2 & 3 being determined with stakeholders.
How,Service,Pay Stream,,Levels 2 & 3 being determined with stakeholders.
Where,Channel,POS Network,,Levels 2 & 3 being determined with stakeholders.
Where,Channel,ATM Network,,Levels 2 & 3 being determined with stakeholders.
Where,Channel,MMM,,Levels 2 & 3 being determined with stakeholders.
Where,Channel,Telephony,,Levels 2 & 3 being determined with stakeholders.
Where,Channel,Store Network,,Levels 2 & 3 being determined with stakeholders.
Where,Channel,BBC Network,,Levels 2 & 3 being determined with stakeholders.
Where,Channel,API (future),,Levels 2 & 3 being determined with stakeholders.
Where,Channel,Social Media,,Levels 2 & 3 being determined with stakeholders.
Where,Location,Address,TBC,
Where,Location,Coordinate,TBC,
Who,Party,Prospect,TBC,
Who,Party,Customer,TBC,
Who,Party,Guarantor,TBC,
Who,Party,Payment,Payer,
Who,Party,Payment,Payee,
Who,Organisation,Organisation,Brand,
Who,Organisation,Organisation,Organisation Unit,
Who,Organisation,Organisation,Role,
When,Time,Calendar,,
When,Time,Time Zone,,
,,,,
