Name,Asset Type,Parent System,Description Use,Technologies,Business Process,Criticality,PACE Layer,TQ FQ Quadrant,Strategy Support,Initiatives,Roadmap 2016,Roadmap 2018,Notes
Base 2000,Core Application,,"Credit Card management system hosted by FIS. Includes transaction authorisation, statement generation, card issuance, customer services etc",,Monitoring for Fraud,Core,SoR,Keep,,,,,
SDT - Core Customer,LOB Application,,,,,Tier 1,SoR,,,,,,
Ultracs,Core Application,,"Ultracs is kiwibanks core banking system. It processes all transactions, accounts, fees and GL functions and is the authoritive source for essential customer information.",,Bank Liquidity Management (incl. Cash Forecasting & Funding),Core,SoR,Replace,,,,,
360T,System Component,TMS,"Integrates various trading systems into one front end view where traders commit to a deal.  Contains connectors; Connector to global 360T platform, passes deals onto Quantum",,Wholesale FX trading,Tier 1,,,,,,,
ActivateBB,LOB application,,"Business banking Loan application, decisioning and processing",,"Business Markets loan Origination - Retail, retail SME & Wholesale",Tier 1,SoR,Refactor,,,,,
ActivateKB,LOB application,,"Retail Loan application, decisioning and processing",,"personal Markets Loan Origination, CC,OD,HL",Tier 1,SoR,Refactor,,,,,
ActivatePL,LOB application,,"Personal Loan application, decisioning and processing",,,Tier 1,SoR,Replace,,,,,Not Used
AOA Generator,LOB application,,Captures documents at the time of account establishment. Contains details of all the valid signatories.,,,Tier 1,SoR,Replace,,,,,
Appointment Manager,LOB application,,Booking appointments between Kiwibank customers and knowledgeable banking specialist.,,,Tier 2,SoD,Replace,,,,,
Autobahn,Actor,,Foreign exchange client app prvided by Deutsche Bank,,Wholesale FX trading,Tier 2,SoR,Keep,,,,,
Barx,Actor,,Barclays multi-asset class e-trading solutions,,Wholesale FX trading,Tier 2,SoR,Keep,,,,,
BNZ PC Banking,Actor,,Client software to access the BNZ's banking system via Direct Dial. The Settlements team use it for payments to BNZ.,,Fortnightly payroll run from Tuesday 2pm until 4pm Wednesday on pay week,Tier 2,SoR,Keep,,,,,
CitiDirect,Actor,,CitiBank's web app providing a payments service that enables FCA & international payments,,"Manual entry, reporting & checking of International payments",Tier 2,SoR,Keep,,,,,
Corporate Product Database,Actor,,Desktop application prviding access to the Nzpost Corporate Product Database,,Exception Management for Billpay & IDVA (Identification Verification Agency),Tier 2,SoD,Replace,,,,,
CSLinkage,System Component,B2K,Enables Base2000 to communicate with the Middleware.,,,Tier 2,,,,,,,probably part of B2K
DealControl,System Component,Quantum,"Trade capture and positioning, essentially a Quantum GUI",,Deal entry,Tier 2,,,,,,,probably part of Quantum
Di's Quote Service,LOB application,,An intranet application used by the Priority Banking Team. It is used to determine the rate of change for large Term Deposits. The Priority Banking Team use it to track their quotes which ultimately enables them to collect sales points once or if the quote is accepted.,,,Tier 2,SoR,Replace,,,,,
EFTPOS,LOB application,,"Kiwibank use two services:
ETSL (Paymark)
Eftpos NZ (ANZ POS)
Only ETSL provide stand-in and have much bigger volumes than Eftpos NZ. All transactions are real-time and come in via the ATMC switch. Stand-in limit for Eftpos by ETSL is $1000.00. According to Distribution, POS has priority over ATM.",,,Tier 1,SoR,Refactor,,,,,
EndofDay,System Component,Ultracs,"Ultracs EOD processing occurs 7 days a week, after the processing of the ISL Inwards #2 file (Tues - Sat) and performs a number of important functions including closing the current day's processing.
 As part of the EOD process, there are a number of key sub processes; see the following components. Runs on Ultracs. ",,,Tier 1,,,,,,,
EndofMonth,System Component,Ultracs,"Occurs on the last night of every month, AFTER the End of day BEFORE Start of Day. Datacom hand control of system over to the Core banking group to run the EOM.
Runs on Ultracs.",,,Tier 1,,,,,,,
EndofYear,System Component,Ultracs,"Occurs on the last night of the financial year (30 June), AFTER the End of Month BEFORE Start of Day.  Runs on Ultracs",,,Tier 1,,,,,,,
Fixed Rate Break Calculator,Desktop System,,Loan Break-fee calculator,,Loan Discharge Enquiries,Tier 2,SoR,,,,,,
