Name,Type,asset_type,maintain_customer,comments,it_owner,business_owner,customer,product_supplier,product_vendor,vendor_support,business_process,criticality,known_risks,dr,parent_system,description,technologies,pace_layer,tq_fq_quadrant,strategy_support,initiatives,roadmap_2016,roadmap_2018,notes
Qualys,n/a,enterprise_application,n/a,Supporting third party for the Security Vulnerability Scanning appliances. ,N/A,Risk Management~ Organisational Resilience,Unknown,Qualys Inc,Qualys Inc,Complete,,unknown,,,,,,,,,,,,
RatesEngine,integration_component,enterprise_application,n/a,The RatesEngine will retrieve rates (FX~ Yield~ Zero etc...) from an external source (Bloomberg) and export them to various internal file directories in the form of a text file. Production phase one will only export the NZPost Pharos FX file.,Wholesale Application Delivery,Business Markets~ Financial Markets,Business Markets (Financial Markets)~ Finance~ NZPost,IT,IT,,,tier_2,,,,,,,,,,,,
RateSnapper,system,enterprise_application,N,"Core Treasury application critical to Treasury day to day operations.
  
 Housed on a standalone pc in NZPH~ and noted as a key Treasury risk. There is a backup pc in RNZH Level 12 for interim redundancy~ but BCP planning will see an upgrade to this system to a newer 'Rates Engine' with better redundancy.",Wholesale Application Delivery,Business Markets~ Financial Markets,Business Markets (Financial Markets),IT,IT,,Rates feed into Quantum,tier_2,,,,,,,,,,,,
SAS,reporting_platform,enterprise_application,n/a,,N/A,Risk Management~ Portfolio Analytics,Unknown,SAS Institute (NZ) Limited,SAS Institute (NZ) Limited,Complete,,tier_2,,,,,,,,,,,,
SCOM,platform,enterprise_application,n/a,,Unknown,Unknown,Unknown,,,,,unknown,,,,,,,,,,,,
ScriptingIT,n/a,enterprise_application,n/a,External party (vendor),N/A,COO~ Information Technology,Unknown,Scripting IT Ltd,Scripting IT Ltd,,,unknown,,,,,,,,,,,,
Solveit,system_component,enterprise_application,n/a,Component of Prosper,Application Development,Personal Markets~ Customer Service Experience,Unknown,Prosper Business Solutions,Ultradata,,,tier_1,,,,,,,,,,,,
Solvency,?,enterprise_application,?,No information available,Unknown,Unknown,Unknown,NA,N/A,,,unknown,,,,,,,,,,,,
SpecialAnswerRobot,system_component,enterprise_application,n/a,,Technology Operations,COO~ Enterprise Operations ,Unknown,IT,IT,,During crisis~ implement relief package for Business and Retail Customers ,tier_2,,,,,,,,,,,,
Spectrum,actor,enterprise_application,n/a,Infrastructure monitoring system provided by Datacom,Unknown,Business Markets~ Distribution,Unknown,Spectrum Software Pty Ltd,,,,unknown,,,,,,,,,,,,
SQLBackupPro,platform_component,enterprise_application,n/a,No information available,Unknown,Unknown,Unknown,,,,,unknown,,,,,,,,,,,,
STB,n/a,enterprise_application,n/a,Decommissioned in 2012,Decommisioned,Risk Management,Unknown,NA,N/A,,,tier_2,,,,,,,,,,,,
Tallyman,system_component,enterprise_application,n/a,The front end web-based application of the Collections System. Enables Kiwibank collections staff to perform daily collection activities.,Application Development,COO~ Enterprise Operations ,Unknown,Experian,Experian,Complete,Bank wide collections process~  holds all customers & accounts,tier_2,,low,,,,,,,,,,
Verisign,n/a,enterprise_application,n/a,Third party (vendor),Unknown,Unknown,Unknown,,,,,unknown,,,,,,,,,,,,
WebPerformance,?,enterprise_application,?,No information available,Unknown,Unknown,Unknown,,,,,unknown,,,,,,,,,,,,
WhereScape,data_warehouse_platform,enterprise_application,n/a,,Unknown,COO~ Payment Services ,Enterprise Information,WhereScape Limited,Datacom,,,unknown,,,,,,,,,,,,
