System Name|GUID|Notes|Technical Fit|Tech Assessment Rationale|Functional Assessment|Functional Assessment Rationale|TSSD Scope|TSSD Rationale
File Scheduler Tool|{8D2F5937-3E0F-427c-857F-8ACF261C38AC}|This is a tool for extracting bulk data from the eDAL and transmitting it to other government agencies.|2|Unsupported components. Tight coupling of components.|2|Can't handle larger files. Doesn't encrypt. Bulk data only.|Y|
Adoptions|{CF991385-8B4A-49f9-8CDB-4ACD82ABF8E2}|A system for managing and registering adoptions.|2|Unsupported components|2||Y|
BDM Birth Notices Online|{2D50FAB5-79DF-4a2a-848E-6CA096D13B50}|Allows midwives and hospitals to notify BDM that a child has been born.|2|Tightly coupled. Complex architecture and integration.|3||Y|
BDM Death Notices Online|{96234761-6697-43f0-9D9E-8FD6428ABEDB}|Allows authorised Funeral Directors to notify and register death notifications electronically and order copies of death certificates.|2|Tightly coupled. Complex architecture and integration.|3||Y|
BDM Images|{6EFBAD9D-0576-4d4d-B24C-B321FD5DCC77}|BDM Images is used to view images of historical birth, death or marriage registry entries (e.g. the paper register entries).|4||3||Y|
BDM Online|{22B944FF-615A-4e77-BB12-442164D7FC6B}|Allows customers to search and obtain birth and death registrations online. Access to anything other than historical records requires a RealMe verified account.|2|Parts are tightly coupled. Complex architecture and integration.|3||Y|
Business Forms|{2D4B4D9A-03A9-4610-87A5-AA988D840977}|A stand alone desktop application which is used to create printable certificates when LifeData is unavailable, or in certain exception cases LifeData is unable to print a suitable or presentable certificate (e.g. the person's name is too long for LifeData's data fields). It uses macros and templates to create word documents of the certificates.|2|Outdated architecture|2||Y|
COGS|{09611A7D-8934-4641-873B-536CF20BB410}|Community Operations Grants Scheme (COGS). This was the primary  solution used to manage the processing of  applications for COGS grants. It has been replaced by the Grants OnLine solution. COGS replaced CMS|1||1||N|Current project. Being replaced by GCMS
COGS Business Process Manual|{B54CB8B9-ECAF-4611-B80E-C791E1A71B5E}|"The COG Information database is an electronic filing cabinet for COGs Policy documents of relevance to all LG&C staff. This database is available to all LG* staff to read only.
This is a lotus notes / Domino solution."|1||1||N|Current project. Being replaced by GCMS
COS (Citizenship Operations System)|{FF56E584-73E5-4b71-A6EF-9F11AA23036B}|COS (Citizenship operations System) is the system used to manage the applications for granting of New Zealand citizenship.|1|Unsupported components. 2 tier architecture.|2|Requires manual workarounds. Doesn't fully automate current business processes.|Y|
